Country,State,District,X,Y
India,Punjab,Shahid Bhagat Singh Nagar,76.1429,31.1115
India,Punjab,Tarn Taran,74.8363,31.336
India,Rajasthan,Ajmer,74.7643,26.2281
India,Rajasthan,Alwar,76.598,27.5968
India,Rajasthan,Banswara,74.3653,23.4772
India,Rajasthan,Baran,76.7519,25.0005
India,Rajasthan,Barmer,71.479,25.7302
India,Rajasthan,Bharatpur,77.2708,27.2512
India,Rajasthan,Bhilwara,74.7269,25.4831
India,Rajasthan,Bikaner,73.0766,28.191
India,Rajasthan,Bundi,75.7737,25.4743
India,Rajasthan,Chittaurgarh,74.7819,24.8355
India,Rajasthan,Churu,74.5616,28.2927
India,Rajasthan,Dausa,76.5199,26.8661
India,Rajasthan,Dhaulpur,77.6956,26.6865
India,Rajasthan,Dungarpur,73.8579,23.7342
India,Rajasthan,Ganganagar,73.5983,29.4078
India,Rajasthan,Hanumangarh,74.5969,29.2401
India,Rajasthan,Jaipur,75.7183,26.9838
India,Rajasthan,Jaisalmer,70.9005,27.0703
India,Rajasthan,Jalor,72.2169,25.0951
India,Rajasthan,Jhalawar,76.1937,24.3331
India,Rajasthan,Jhunjhunun,75.545,28.0956
India,Rajasthan,Jodhpur,72.7878,26.749
India,Rajasthan,Karauli,76.9396,26.5223
India,Rajasthan,Kota,76.1254,25.1286
India,Rajasthan,Nagaur,74.1837,27.0664
India,Rajasthan,Pali,73.521,25.7087
India,Rajasthan,Pratapgarh,74.6812,24.0309
India,Rajasthan,Rajsamand,73.8753,25.1974
India,Rajasthan,Sawai Madhopur,76.4444,26.1928
India,Rajasthan,Sikar,75.2813,27.64
India,Rajasthan,Sirohi,72.779,24.7584
India,Rajasthan,Tonk,75.6673,26.15
India,Rajasthan,Udaipur,73.7146,24.411
India,Sikkim,East Sikkim,88.6713,27.2929
India,Sikkim,North Sikkim,88.5264,27.7437
India,Sikkim,South Sikkim,88.3804,27.2871
India,Sikkim,West Sikkim,88.1739,27.3471
India,Tamil Nadu,Ariyalur,79.2282,11.1467
India,Tamil Nadu,Chennai,80.235,13.0481
India,Tamil Nadu,Coimbatore,76.9309,10.8268
India,Tamil Nadu,Cuddalore,79.4452,11.5251
India,Tamil Nadu,Dharmapuri,78.1838,12.0864
India,Tamil Nadu,Dindigul,77.805,10.3793
India,Tamil Nadu,Erode,77.4036,11.4949
India,Tamil Nadu,Kancheepuram,79.9362,12.6813
India,Tamil Nadu,Kanniyakumari,77.3465,8.306
India,Tamil Nadu,Karur,78.1184,10.8318
India,Tamil Nadu,Krishnagiri,78.0216,12.4792
India,Tamil Nadu,Madurai,77.9896,9.91
India,Tamil Nadu,Nagappattinam,79.7361,10.8637
India,Tamil Nadu,Namakkal,78.1225,11.3053
India,Tamil Nadu,Perambalur,78.8778,11.2605
India,Tamil Nadu,Pudukkottai,78.8666,10.3421
India,Tamil Nadu,Ramanathapuram,78.6803,9.4429
India,Tamil Nadu,Salem,78.2092,11.6631
India,Tamil Nadu,Sivaganga,78.576,9.907
India,Tamil Nadu,Thanjavur,79.2236,10.6552
India,Tamil Nadu,The Nilgiris,76.6328,11.4484
India,Tamil Nadu,Theni,77.4239,9.8808
India,Tamil Nadu,Thiruvallur,79.9325,13.2353
India,Tamil Nadu,Thiruvarur,79.5346,10.6693
India,Tamil Nadu,Thoothukkudi,77.9882,8.8774
India,Tamil Nadu,Tiruchirappalli,78.5549,10.8767
India,Tamil Nadu,Tirunelveli,77.5231,8.7901
India,Tamil Nadu,Tiruppur,77.3524,10.8456
India,Tamil Nadu,Tiruvannamalai,79.1545,12.4187
India,Tamil Nadu,Vellore,78.9981,12.8006
India,Tamil Nadu,Viluppuram,79.2845,11.9603
India,Tamil Nadu,Virudunagar,77.8944,9.4806
India,Telangana,Adilabad,78.9667,19.2544
India,Telangana,Hyderabad,78.4641,17.3856
India,Telangana,Karimnagar,79.2347,18.5462
