ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
79,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Multan,71.4102,29.8998,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
80,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Chakwal,72.5062,32.8937,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
81,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Rawalpindi,73.1605,33.4749,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
82,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Jhelum,73.2739,32.8339,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
83,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Attok,72.2992,33.4835,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
84,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Gujranwala,73.9569,32.3293,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
85,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Sialkot,74.494,32.4301,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
86,31-03-20,https://www.tribuneindia.com/news/bathinda/farmers-a-harried-lot-amid-yellow-rust-attack-63489,India,Punjab,Bathinda,75.03,30.1841,yellow+rust+villages+leaf+blade+stripes+spikes+loss+grains+bhaini bhaga+20 acres,tribuneindia,14,yellow rust
87,24-05-20,https://www.dawn.com/news/1559230/fungal-disease-damages-wheat-crop-in-chitral-areas,Pakistan,N.W.F.P.,Chitral,72.2366,36.2275,fungal+disease+leaves+orange-yellowish+yellow+rust+excessive+rains,dawn,21,yellow rust
88,20-01-21,https://krishijagran.com/crop-care/yellow-rust-reported-in-wheat-crop-district-kurukshetra-state-of-haryana-india/,India,Haryana,Kurukshetra,76.8297,30.0499,yellow+rust+acre+spread+stripe+pesticides+fungicides,krishijagran,3,yellow rust
89,20-01-21,https://www.tribuneindia.com/news/haryana/yellow-rust-reported-in-kurukshetra-200860,India,Haryana,Kurukshetra,76.8287,30.0489,yellow+rust+acre+spread+stripe+pesticides+fungicides,tribuneindia,3,yellow rust
90,24-01-21,http://www.uniindia.com/icy-cool-winds-blow-amid-scattered-clouds-in-hamirpur/north/news/2300525.html,India,Himachal Pradesh,Hamirpur,76.511,31.6705,yellow+rust+pesticides+wheat,uniindia,3,yellow rust
